Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,low,medium,low,low,Iris-setosa
2,low,medium,low,low,Iris-setosa
3,low,medium,low,low,Iris-setosa
4,low,medium,low,low,Iris-setosa
5,low,medium,low,low,Iris-setosa
6,low,high,low,low,Iris-setosa
7,low,medium,low,low,Iris-setosa
8,low,medium,low,low,Iris-setosa
9,low,medium,low,low,Iris-setosa
10,low,medium,low,low,Iris-setosa
11,low,high,low,low,Iris-setosa
12,low,medium,low,low,Iris-setosa
13,low,medium,low,low,Iris-setosa
14,low,medium,low,low,Iris-setosa
15,medium,high,low,low,Iris-setosa
16,medium,high,low,low,Iris-setosa
17,low,high,low,low,Iris-setosa
18,low,medium,low,low,Iris-setosa
19,medium,high,low,low,Iris-setosa
20,low,high,low,low,Iris-setosa
21,low,medium,low,low,Iris-setosa
22,low,high,low,low,Iris-setosa
23,low,medium,low,low,Iris-setosa
24,low,medium,low,low,Iris-setosa
25,low,medium,low,low,Iris-setosa
26,low,medium,low,low,Iris-setosa
27,low,medium,low,low,Iris-setosa
28,low,medium,low,low,Iris-setosa
29,low,medium,low,low,Iris-setosa
30,low,medium,low,low,Iris-setosa
31,low,medium,low,low,Iris-setosa
32,low,medium,low,low,Iris-setosa
33,low,high,low,low,Iris-setosa
34,low,high,low,low,Iris-setosa
35,low,medium,low,low,Iris-setosa
36,low,medium,low,low,Iris-setosa
37,low,medium,low,low,Iris-setosa
38,low,medium,low,low,Iris-setosa
39,low,medium,low,low,Iris-setosa
40,low,medium,low,low,Iris-setosa
41,low,medium,low,low,Iris-setosa
42,low,low,low,low,Iris-setosa
43,low,medium,low,low,Iris-setosa
44,low,medium,low,low,Iris-setosa
45,low,high,low,low,Iris-setosa
46,low,medium,low,low,Iris-setosa
47,low,high,low,low,Iris-setosa
48,low,medium,low,low,Iris-setosa
49,low,high,low,low,Iris-setosa
50,low,medium,low,low,Iris-setosa
51,high,medium,medium,medium,Iris-versicolor
52,medium,medium,medium,medium,Iris-versicolor
53,high,medium,medium,medium,Iris-versicolor
54,low,low,medium,medium,Iris-versicolor
55,medium,low,medium,medium,Iris-versicolor
56,medium,low,medium,medium,Iris-versicolor
57,medium,medium,medium,medium,Iris-versicolor
58,low,low,medium,medium,Iris-versicolor
59,medium,medium,medium,medium,Iris-versicolor
60,low,low,medium,medium,Iris-versicolor
61,low,low,medium,medium,Iris-versicolor
62,medium,medium,medium,medium,Iris-versicolor
63,medium,low,medium,medium,Iris-versicolor
64,medium,medium,medium,medium,Iris-versicolor
65,medium,medium,medium,medium,Iris-versicolor
66,medium,medium,medium,medium,Iris-versicolor
67,medium,medium,medium,medium,Iris-versicolor
68,medium,low,medium,medium,Iris-versicolor
69,medium,low,medium,medium,Iris-versicolor
70,medium,low,medium,medium,Iris-versicolor
71,medium,medium,medium,high,Iris-versicolor
72,medium,low,medium,medium,Iris-versicolor
73,medium,low,medium,medium,Iris-versicolor
74,medium,low,medium,medium,Iris-versicolor
75,medium,medium,medium,medium,Iris-versicolor
76,medium,medium,medium,medium,Iris-versicolor
77,high,low,medium,medium,Iris-versicolor
78,medium,medium,high,medium,Iris-versicolor
79,medium,medium,medium,medium,Iris-versicolor
80,medium,low,medium,medium,Iris-versicolor
81,low,low,medium,medium,Iris-versicolor
82,low,low,medium,medium,Iris-versicolor
83,medium,low,medium,medium,Iris-versicolor
84,medium,low,high,medium,Iris-versicolor
85,low,medium,medium,medium,Iris-versicolor
86,medium,medium,medium,medium,Iris-versicolor
87,medium,medium,medium,medium,Iris-versicolor
88,medium,low,medium,medium,Iris-versicolor
89,medium,medium,medium,medium,Iris-versicolor
90,low,low,medium,medium,Iris-versicolor
91,low,low,medium,medium,Iris-versicolor
92,medium,medium,medium,medium,Iris-versicolor
93,medium,low,medium,medium,Iris-versicolor
94,low,low,medium,medium,Iris-versicolor
95,medium,low,medium,medium,Iris-versicolor
96,medium,medium,medium,medium,Iris-versicolor
97,medium,medium,medium,medium,Iris-versicolor
98,medium,medium,medium,medium,Iris-versicolor
99,low,low,medium,medium,Iris-versicolor
100,medium,low,medium,medium,Iris-versicolor
101,medium,medium,high,high,Iris-virginica
102,medium,low,high,high,Iris-virginica
103,high,medium,high,high,Iris-virginica
104,medium,medium,high,high,Iris-virginica
105,medium,medium,high,high,Iris-virginica
106,high,medium,high,high,Iris-virginica
107,low,low,medium,medium,Iris-virginica
108,high,medium,high,high,Iris-virginica
109,medium,low,high,high,Iris-virginica
110,high,medium,high,high,Iris-virginica
111,medium,medium,high,high,Iris-virginica
112,medium,low,high,high,Iris-virginica
113,high,medium,high,high,Iris-virginica
114,medium,low,high,high,Iris-virginica
115,medium,low,high,high,Iris-virginica
116,medium,medium,high,high,Iris-virginica
117,medium,medium,high,high,Iris-virginica
118,high,high,high,high,Iris-virginica
119,high,low,high,high,Iris-virginica
120,medium,low,high,medium,Iris-virginica
121,high,medium,high,high,Iris-virginica
122,medium,low,medium,high,Iris-virginica
123,high,low,high,high,Iris-virginica
124,medium,low,medium,high,Iris-virginica
125,medium,medium,high,high,Iris-virginica
126,high,medium,high,high,Iris-virginica
127,medium,low,medium,high,Iris-virginica
128,medium,medium,medium,high,Iris-virginica
129,medium,low,high,high,Iris-virginica
130,high,medium,high,medium,Iris-virginica
131,high,low,high,high,Iris-virginica
132,high,high,high,high,Iris-virginica
133,medium,low,high,high,Iris-virginica
134,medium,low,high,medium,Iris-virginica
135,medium,low,high,medium,Iris-virginica
136,high,medium,high,high,Iris-virginica
137,medium,medium,high,high,Iris-virginica
138,medium,medium,high,high,Iris-virginica
139,medium,medium,medium,high,Iris-virginica
140,high,medium,high,high,Iris-virginica
141,medium,medium,high,high,Iris-virginica
142,high,medium,high,high,Iris-virginica
143,medium,low,high,high,Iris-virginica
144,high,medium,high,high,Iris-virginica
145,medium,medium,high,high,Iris-virginica
146,medium,medium,high,high,Iris-virginica
147,medium,low,high,high,Iris-virginica
148,medium,medium,high,high,Iris-virginica
149,medium,medium,high,high,Iris-virginica
150,medium,medium,high,high,Iris-virginica
